,Name,Position,Country,Age,Club,Current_Value,Previous_Value
232,Federico Valverde,Central Midfield,Uruguay,19,Deportivo de La Coruña,"3,00 Mill. ","3,00 Mill. €"
233,Rodrigo Ely,Centre-Back,Brazil,24,Deportivo Alavés,"3,00 Mill. ","3,00 Mill. €"
234,Adrián González,Central Midfield,Spain,29,Málaga CF,"3,00 Mill. ","3,00 Mill. €"
235,Bruno Soriano,Defensive Midfield,Spain,33,Villarreal CF,"3,00 Mill. ","5,00 Mill. €"
236,Sergio Álvarez,Keeper,Spain,31,Celta de Vigo,"2,50 Mill. ","5,00 Mill. €"
237,Pedro León,Right Wing,Spain,31,SD Eibar,"2,50 Mill. ","5,00 Mill. €"
238,Tana,Attacking Midfield,Spain,27,UD Las Palmas,"3,00 Mill. ","3,50 Mill. €"
239,Lionel Carole,Left-Back,France,26,Sevilla FC,"3,00 Mill. ","3,25 Mill. €"
240,Joel Campbell,Right Wing,Costa Rica,25,Real Betis Balompié,"3,00 Mill. ","6,00 Mill. €"
241,José Campaña,Central Midfield,Spain,24,Levante UD,"3,00 Mill. ","2,50 Mill. €"
242,Nordin Amrabat,Right Wing,Morocco,30,CD Leganés,"3,00 Mill. ","4,50 Mill. €"
243,Antonio Barragán,Right-Back,Spain,30,Real Betis Balompié,"3,00 Mill. ","3,00 Mill. €"
244,Facundo Roncaglia,Centre-Back,Argentina,30,Celta de Vigo,"3,00 Mill. ","5,00 Mill. €"
245,Pau López,Keeper,Spain,23,RCD Espanyol Barcelona,"3,00 Mill. ","1,50 Mill. €"
246,Raúl Navas,Centre-Back,Spain,29,Real Sociedad,"3,00 Mill. ","5,00 Mill. €"
247,Claudio Beauvue,Centre-Forward,Guadeloupe,29,CD Leganés,"3,00 Mill. ","3,00 Mill. €"
248,Marko Dmitrovic,Keeper,Serbia,25,SD Eibar,"2,50 Mill. ","1,00 Mill. €"
249,Alen Halilovic,Attacking Midfield,Croatia,21,UD Las Palmas,"2,50 Mill. ","4,00 Mill. €"
250,Aritz Elustondo,Centre-Back,Spain,23,Real Sociedad,"2,50 Mill. ","2,50 Mill. €"
251,Kike,Centre-Forward,Spain,28,SD Eibar,"2,50 Mill. ","3,00 Mill. €"
252,Joseba Zaldua,Right-Back,Spain,25,CD Leganés,"2,50 Mill. ","1,50 Mill. €"
253,Gonzalo Escalante,Central Midfield,Argentina,24,SD Eibar,"2,50 Mill. ","5,00 Mill. €"
254,Juanpe,Centre-Back,Spain,26,Girona FC,"2,50 Mill. ","1,00 Mill. €"
255,Xabier Etxeita,Centre-Back,Spain,30,Athletic Bilbao,"2,50 Mill. ","2,50 Mill. €"
256,Rubén Blanco,Keeper,Spain,22,Celta de Vigo,"2,50 Mill. ","1,50 Mill. €"
257,Adalberto Peñaranda,Centre-Forward,Venezuela,20,Málaga CF,"2,50 Mill. ","3,00 Mill. €"
258,Álex Granell,Central Midfield,Spain,29,Girona FC,"2,50 Mill. ","1,00 Mill. €"
259,José Luis Morales,Left Wing,Spain,30,Levante UD,"2,50 Mill. ","2,00 Mill. €"
260,Jaume Doménech,Keeper,Spain,27,Valencia CF,"2,50 Mill. ","2,50 Mill. €"
261,Paul Baysse,Centre-Back,France,29,Málaga CF,"2,50 Mill. ","3,50 Mill. €"
262,Dimitrios Siovas,Centre-Back,Greece,29,CD Leganés,"2,50 Mill. ","3,00 Mill. €"
263,José Manuel Jurado,Attacking Midfield,Spain,31,RCD Espanyol Barcelona,"2,50 Mill. ","2,50 Mill. €"
264,Borja García,Attacking Midfield,Spain,27,Girona FC,"2,50 Mill. ","1,50 Mill. €"
265,Dani Castellano,Left-Back,Spain,30,UD Las Palmas,"2,50 Mill. ","4,00 Mill. €"
266,Keko,Right Wing,Spain,26,Málaga CF,"2,50 Mill. ","3,00 Mill. €"
267,Sergi Samper,Defensive Midfield,Spain,22,UD Las Palmas,"2,50 Mill. ","3,50 Mill. €"
268,Javier Ontiveros,Right Wing,Spain,20,Málaga CF,"2,50 Mill. ","3,00 Mill. €"
269,Jordi Amat,Centre-Back,Spain,25,Real Betis Balompié,"2,50 Mill. ","2,50 Mill. €"
270,Damián Suárez,Right-Back,Uruguay,29,Getafe CF,"2,50 Mill. ","2,50 Mill. €"
271,Bojan Krkic,Secondary Striker,Spain,27,Deportivo Alavés,"2,50 Mill. ","5,00 Mill. €"
272,Mauro Arambarri,Central Midfield,Uruguay,22,Getafe CF,"2,50 Mill. ","1,50 Mill. €"
273,Vicente Guaita,Keeper,Spain,30,Getafe CF,"2,50 Mill. ","1,80 Mill. €"
274,Luis Hernández,Centre-Back,Spain,28,Málaga CF,"2,50 Mill. ","3,00 Mill. €"
275,Juanpi Añor,Attacking Midfield,Venezuela,23,Málaga CF,"2,00 Mill. ","2,50 Mill. €"
276,Bono,Keeper,Morocco,26,Girona FC,"2,00 Mill. ","1,00 Mill. €"
277,Ximo Navarro,Centre-Back,Spain,27,UD Las Palmas,"2,00 Mill. ","2,00 Mill. €"
278,Johan Mojica,Left-Back,Colombia,25,Girona FC,"2,00 Mill. ","1,00 Mill. €"
279,Nabil El Zhar,Right Wing,Morocco,31,CD Leganés,"2,00 Mill. ","2,00 Mill. €"
280,Jefferson Montero,Left Wing,Ecuador,28,Getafe CF,"2,00 Mill. ","4,50 Mill. €"
281,Pedro Mosquera,Central Midfield,Spain,29,Deportivo de La Coruña,"2,00 Mill. ","4,00 Mill. €"
282,Diego Rico,Left-Back,Spain,24,CD Leganés,"2,00 Mill. ","2,00 Mill. €"
283,Darko Brasanac,Central Midfield,Serbia,25,CD Leganés,"2,00 Mill. ","4,00 Mill. €"
284,Ángel Rodríguez,Centre-Forward,Spain,30,Getafe CF,"2,00 Mill. ","1,00 Mill. €"
285,Álvaro Medrán,Central Midfield,Spain,23,Deportivo Alavés,"2,00 Mill. ","2,50 Mill. €"
286,Nacho Vidal,Right-Back,Spain,22,Valencia CF,"2,00 Mill. ",300 Th. €
287,Javi Eraso,Attacking Midfield,Spain,27,CD Leganés,"2,00 Mill. ","1,50 Mill. €"
288,Igor Zubeldia,Central Midfield,Spain,20,Real Sociedad,"2,00 Mill. ",600 Th. €
289,Míchel,Right-Back,Brazil,27,UD Las Palmas,"2,00 Mill. ","2,50 Mill. €"
290,Cala,Centre-Back,Spain,28,Getafe CF,"2,00 Mill. ","1,00 Mill. €"
291,Federico Cartabia,Right Wing,Argentina,24,Deportivo de La Coruña,"2,00 Mill. ","1,50 Mill. €"
292,Roberto,Keeper,Spain,31,Málaga CF,"2,00 Mill. ","2,00 Mill. €"
293,Fabián Orellana,Right Wing,Chile,31,SD Eibar,"2,00 Mill. ","3,00 Mill. €"
294,Ager Aketxe,Attacking Midfield,Spain,24,Athletic Bilbao,"2,00 Mill. ","1,00 Mill. €"
295,Ezequiel Muñoz,Centre-Back,Argentina,27,CD Leganés,"2,00 Mill. ","3,00 Mill. €"
296,Miguel Ángel Moyà,Keeper,Spain,33,Atlético Madrid,"2,00 Mill. ","2,00 Mill. €"
297,Fayçal Fajr,Attacking Midfield,Morocco,29,Getafe CF,"2,00 Mill. ","2,00 Mill. €"
298,José Ángel,Left-Back,Spain,28,SD Eibar,"2,00 Mill. ","1,50 Mill. €"
299,Nemanja Maksimovic,Central Midfield,Serbia,22,Valencia CF,"2,00 Mill. ","3,00 Mill. €"
300,David Timor,Defensive Midfield,Spain,28,Girona FC,"2,00 Mill. ","2,00 Mill. €"
301,Eneko Bóveda,Right-Back,Spain,29,Athletic Bilbao,"2,00 Mill. ","3,00 Mill. €"
302,Zakaria Bakkali,Left Wing,Belgium,21,Deportivo de La Coruña,"1,80 Mill. ","2,00 Mill. €"
303,Mauro dos Santos,Centre-Back,Argentina,28,CD Leganés,"1,80 Mill. ","2,00 Mill. €"
304,Sergio Postigo,Centre-Back,Spain,29,Levante UD,"1,80 Mill. ","1,50 Mill. €"
305,Manu García,Defensive Midfield,Spain,31,Deportivo Alavés,"1,80 Mill. ","1,50 Mill. €"
306,David Juncà,Left-Back,Spain,24,SD Eibar,"1,50 Mill. ","1,50 Mill. €"
307,Víctor Laguardia,Centre-Back,Spain,28,Deportivo Alavés,"1,50 Mill. ","3,00 Mill. €"
308,Borja Lasso,Left Wing,Spain,24,Sevilla FC,"1,50 Mill. ","1,50 Mill. €"
309,Raúl Albentosa,Centre-Back,Spain,29,Deportivo de La Coruña,"1,50 Mill. ","3,00 Mill. €"
310,Raúl Fernández,Keeper,Spain,29,Levante UD,"1,50 Mill. ","1,50 Mill. €"
311,Aday,Left-Back,Spain,30,Girona FC,"1,50 Mill. ","1,00 Mill. €"
312,Alejandro Gálvez,Centre-Back,Spain,28,UD Las Palmas,"1,50 Mill. ","2,50 Mill. €"
313,Anaitz Arbilla,Right-Back,Spain,30,SD Eibar,"2,00 Mill. ","1,50 Mill. €"
314,Sergio García,Centre-Forward,Spain,34,RCD Espanyol Barcelona,"2,00 Mill. ","3,00 Mill. €"
315,Ivi,Left Wing,Spain,23,Levante UD,"1,80 Mill. ","1,50 Mill. €"
316,Chema,Centre-Back,Spain,25,Levante UD,"1,80 Mill. ","1,50 Mill. €"
317,Markel Bergara,Defensive Midfield,Spain,31,Getafe CF,"1,80 Mill. ","1,50 Mill. €"
318,Oussama Tannane,Right Wing,Morocco,23,UD Las Palmas,"1,50 Mill. ","3,00 Mill. €"
319,Alexis,Centre-Back,Spain,32,Deportivo Alavés,"1,50 Mill. ","1,50 Mill. €"
320,Daniel Torres,Defensive Midfield,Colombia,28,Deportivo Alavés,"1,50 Mill. ","2,00 Mill. €"
321,Costel Pantilimon,Keeper,Romania,30,Deportivo de La Coruña,"1,50 Mill. ","3,00 Mill. €"
322,Michael Krohn-Dehli,Central Midfield,Denmark,34,Sevilla FC,"1,50 Mill. ","1,50 Mill. €"
323,Guillermo Maripán,Centre-Back,Chile,23,Deportivo Alavés,"1,50 Mill. ",800 Th. €
324,Jefferson Lerma,Defensive Midfield,Colombia,23,Levante UD,"1,50 Mill. ","1,50 Mill. €"
325,Daniel Carriço,Centre-Back,Portugal,29,Sevilla FC,"1,50 Mill. ","2,00 Mill. €"
326,Tomás Pina,Central Midfield,Spain,30,Deportivo Alavés,"1,50 Mill. ","1,50 Mill. €"
327,Juankar,Left-Back,Spain,27,Málaga CF,"1,50 Mill. ","2,50 Mill. €"
328,Mikel Rico,Central Midfield,Spain,33,Athletic Bilbao,"1,50 Mill. ","2,00 Mill. €"
329,Esteban Granero,Central Midfield,Spain,30,RCD Espanyol Barcelona,"1,50 Mill. ","2,00 Mill. €"
330,Sabin Merino,Left Wing,Spain,25,Athletic Bilbao,"1,50 Mill. ","2,00 Mill. €"
331,Gaku Shibasaki,Central Midfield,Japan,25,Getafe CF,"1,50 Mill. ","2,00 Mill. €"
332,David Lombán,Centre-Back,Spain,30,SD Eibar,"1,50 Mill. ","2,50 Mill. €"
333,Bebé,Left Wing,Portugal,27,SD Eibar,"1,50 Mill. ","2,50 Mill. €"
334,Diego González,Centre-Back,Spain,22,Málaga CF,"1,50 Mill. ","1,50 Mill. €"
335,Mario Hermoso,Centre-Back,Spain,22,RCD Espanyol Barcelona,"1,50 Mill. ",400 Th. €
336,Jonás Ramalho,Centre-Back,Spain,24,Girona FC,"1,50 Mill. ","1,50 Mill. €"
337,Luisinho,Left-Back,Portugal,32,Deportivo de La Coruña,"1,50 Mill. ","1,80 Mill. €"
338,Toño,Left-Back,Spain,28,Levante UD,"1,50 Mill. ","1,50 Mill. €"
339,Imanol Agirretxe,Centre-Forward,Spain,30,Real Sociedad,"1,50 Mill. ","2,00 Mill. €"
340,Iván Alejo,Right Wing,Spain,22,SD Eibar,"1,50 Mill. ",300 Th. €
341,Jony,Left Wing,Spain,26,Málaga CF,"1,50 Mill. ","2,50 Mill. €"
342,José Naranjo,Left Wing,Spain,23,CD Leganés,"1,50 Mill. ","2,00 Mill. €"
343,Burgui,Left Wing,Spain,24,Deportivo Alavés,"1,50 Mill. ","3,00 Mill. €"
344,Hernán Pérez,Right Wing,Paraguay,28,RCD Espanyol Barcelona,"1,50 Mill. ","3,00 Mill. €"
345,Rober Pier,Centre-Back,Spain,22,Levante UD,"1,50 Mill. ","1,00 Mill. €"
346,Carles Gil,Right Wing,Spain,25,Deportivo de La Coruña,"1,50 Mill. ","2,50 Mill. €"
347,Antonio Luna,Left-Back,Spain,26,Levante UD,"1,50 Mill. ","2,00 Mill. €"
348,Charles,Centre-Forward,Brazil,33,SD Eibar,"1,50 Mill. ","1,50 Mill. €"
349,Chory Castro,Left Wing,Uruguay,33,Málaga CF,"1,50 Mill. ","1,50 Mill. €"
350,Federico Ricca,Left-Back,Uruguay,23,Málaga CF,"1,50 Mill. ","2,50 Mill. €"
351,Christian Santos,Centre-Forward,Venezuela,29,Deportivo Alavés,"1,50 Mill. ","1,50 Mill. €"
352,Francisco Portillo,Attacking Midfield,Spain,27,Getafe CF,"1,50 Mill. ","1,50 Mill. €"
353,Naldo,Centre-Back,Brazil,29,RCD Espanyol Barcelona,"1,50 Mill. ","4,00 Mill. €"
354,Cheick Doukouré,Defensive Midfield,Cote d'Ivoire,25,Levante UD,"1,50 Mill. ","1,60 Mill. €"
355,Alberto de la Bella,Left-Back,Spain,32,Real Sociedad,"1,20 Mill. ","1,20 Mill. €"
356,Jason,Right Wing,Spain,23,Levante UD,"1,20 Mill. ","1,00 Mill. €"
357,Axel Werner,Keeper,Argentina,21,Atlético Madrid,"1,00 Mill. ","1,00 Mill. €"
358,Fran Rico,Central Midfield,Spain,30,SD Eibar,"1,00 Mill. ","2,50 Mill. €"
359,Nicolás Pareja,Centre-Back,Argentina,33,Sevilla FC,"1,00 Mill. ","1,00 Mill. €"
360,Sasa Lukic,Central Midfield,Serbia,21,Levante UD,"1,00 Mill. ","2,20 Mill. €"
361,Mitchell Langerak,Keeper,Australia,29,Levante UD,"1,00 Mill. ","1,50 Mill. €"
362,Diego López,Keeper,Spain,36,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. €"
363,Roger Martí,Centre-Forward,Spain,26,Levante UD,"1,50 Mill. ","2,50 Mill. €"
364,Emmanuel Boateng,Centre-Forward,Ghana,21,Levante UD,"1,50 Mill. ","2,00 Mill. €"
365,Robert Ibáñez,Right Wing,Spain,24,Valencia CF,"1,50 Mill. ","1,50 Mill. €"
366,Rubén Martínez,Keeper,Spain,33,Deportivo de La Coruña,"1,50 Mill. ",900 Th. €
367,Yoel Rodríguez,Keeper,Spain,29,SD Eibar,"1,50 Mill. ","2,50 Mill. €"
368,Omar,Right Wing,Spain,29,CD Leganés,"1,20 Mill. ","1,50 Mill. €"
369,Miguel Ángel Guerrero,Centre-Forward,Spain,27,CD Leganés,"1,20 Mill. ","1,50 Mill. €"
370,Aleksandar Katai,Right Wing,Serbia,26,Deportivo Alavés,"1,00 Mill. ","2,00 Mill. €"
371,Alin Tosca,Left-Back,Romania,25,Real Betis Balompié,"1,00 Mill. ","2,00 Mill. €"
372,Esteban Rolón,Defensive Midfield,Argentina,22,Málaga CF,"1,00 Mill. ",75 Th. €
373,Tito,Right-Back,Spain,32,CD Leganés,"1,00 Mill. ","2,50 Mill. €"
374,Mubarak Wakaso,Central Midfield,Ghana,27,Deportivo Alavés,"1,00 Mill. ","1,00 Mill. €"
375,Antonio Rukavina,Right-Back,Serbia,33,Villarreal CF,"1,00 Mill. ","1,50 Mill. €"
376,Sergio Sánchez,Centre-Back,Spain,31,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. €"
377,Adrián Marín,Left-Back,Spain,20,Villarreal CF,"1,00 Mill. ","1,00 Mill. €"
378,Alex Alegría,Centre-Forward,Spain,25,Levante UD,"1,00 Mill. ","2,00 Mill. €"
379,Javi López,Right-Back,Spain,31,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. €"
380,Carlos Vigaray,Right-Back,Spain,23,Deportivo Alavés,"1,00 Mill. ","1,00 Mill. €"
381,Álvaro Vázquez,Centre-Forward,Spain,26,RCD Espanyol Barcelona,"1,00 Mill. ","1,50 Mill. €"
382,Hernán Toledo,Left Wing,Argentina,21,UD Las Palmas,"1,00 Mill. ","2,00 Mill. €"
383,Leandro Chichizola,Keeper,Argentina,27,UD Las Palmas,"1,00 Mill. ","1,00 Mill. €"
384,Antonio Sivera,Keeper,Spain,21,Deportivo Alavés,"1,00 Mill. ",500 Th. €
385,Pape Diop,Defensive Midfield,Senegal,31,SD Eibar,"1,00 Mill. ","1,50 Mill. €"
386,Raúl Lizoain,Keeper,Spain,26,UD Las Palmas,"1,00 Mill. ",800 Th. €
387,Raúl García,Left-Back,Spain,28,CD Leganés,"1,00 Mill. ","1,00 Mill. €"
388,Aleix García,Defensive Midfield,Spain,20,Girona FC,"1,00 Mill. ","1,00 Mill. €"
389,Carles Planas,Left-Back,Spain,26,Girona FC,"1,00 Mill. ","1,50 Mill. €"
390,Aritz Aduriz,Centre-Forward,Spain,36,Athletic Bilbao,"1,00 Mill. ","1,00 Mill. €"
391,David Simón,Right-Back,Spain,29,UD Las Palmas,"1,00 Mill. ","1,50 Mill. €"
392,Samu García,Right Wing,Spain,27,Levante UD,"1,00 Mill. ","2,00 Mill. €"
393,Dídac Vilà,Left-Back,Spain,28,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. €"
394,Bruno Gama,Right Wing,Portugal,30,Deportivo de La Coruña,"1,00 Mill. ","1,50 Mill. €"
395,Oier Olazábal,Keeper,Spain,28,Levante UD,"1,00 Mill. ",400 Th. €
396,Marc Navarro,Right-Back,Spain,22,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. €"
397,Andrés Fernández,Keeper,Spain,31,Villarreal CF,"1,00 Mill. ","1,50 Mill. €"
398,Marc Roca,Central Midfield,Spain,21,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. €"
399,Rubén Duarte,Left-Back,Spain,22,Deportivo Alavés,"1,00 Mill. ","1,00 Mill. €"
400,Óscar Duarte,Centre-Back,Costa Rica,28,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. €"
401,Miguel Torres,Right-Back,Spain,31,Málaga CF,"1,00 Mill. ","2,00 Mill. €"
402,Javi Fuego,Defensive Midfield,Spain,33,RCD Espanyol Barcelona,"1,00 Mill. ","1,50 Mill. €"
403,Pedro Alcalá,Centre-Back,Spain,28,Girona FC,"1,00 Mill. ","1,00 Mill. €"
404,Andrew Hjulsager,Central Midfield,Denmark,22,Celta de Vigo,"1,00 Mill. ","1,20 Mill. €"
405,Erik Morán,Defensive Midfield,Spain,26,CD Leganés,900 Th. ,"1,00 Mill. €"
406,Zdravko Kuzmanovi?,Central Midfield,Serbia,30,Málaga CF,800 Th. ,"1,00 Mill. €"
407,Gerard Gumbau,Central Midfield,Spain,23,CD Leganés,800 Th. ,700 Th. €
408,Unai Bustinza,Right-Back,Spain,25,CD Leganés,800 Th. ,"1,00 Mill. €"
409,Mehdi Lacen,Defensive Midfield,Algeria,33,Getafe CF,800 Th. ,"1,50 Mill. €"
410,Emiliano Martínez,Keeper,Argentina,25,Getafe CF,800 Th. ,"1,00 Mill. €"
411,Dani Pacheco,Left Wing,Spain,26,Getafe CF,800 Th. ,"1,00 Mill. €"
412,Filip Manojlovic,Keeper,Serbia,21,Getafe CF,800 Th. ,"1,20 Mill. €"
413,Matías Nahuel,Right Wing,Spain,21,Real Betis Balompié,"1,00 Mill. ","1,50 Mill. €"
414,Mariano Barbosa,Keeper,Argentina,33,Villarreal CF,"1,00 Mill. ",600 Th. €
415,Rafa Navarro,Right-Back,Spain,23,Real Betis Balompié,"1,00 Mill. ","1,50 Mill. €"
416,Rubén Peña,Right Wing,Spain,26,SD Eibar,"1,00 Mill. ","1,50 Mill. €"
417,Jon Ander Serantes,Keeper,Spain,28,CD Leganés,"1,00 Mill. ","1,50 Mill. €"
418,Álvaro Jiménez,Right Wing,Spain,22,Getafe CF,900 Th. ,"1,00 Mill. €"
419,Mathí­as Olivera,Left-Back,Uruguay,20,Getafe CF,800 Th. ,800 Th. €
420,Iván Cuéllar,Keeper,Spain,33,CD Leganés,800 Th. ,800 Th. €
421,Erick Cabaco,Centre-Back,Uruguay,22,Levante UD,800 Th. ,"1,50 Mill. €"
422,Youssef En-Nesyri,Centre-Forward,Morocco,20,Málaga CF,800 Th. ,"1,00 Mill. €"
423,Alberto Aquilani,Central Midfield,Italy,33,UD Las Palmas,800 Th. ,"1,00 Mill. €"
424,Bruno González,Centre-Back,Spain,27,Getafe CF,800 Th. ,"1,00 Mill. €"
425,Javi Castellano,Defensive Midfield,Spain,30,UD Las Palmas,700 Th. ,400 Th. €
426,Hernán,Central Midfield,Spain,27,UD Las Palmas,700 Th. ,800 Th. €
427,Borja Valle,Left Wing,Spain,25,Deportivo de La Coruña,700 Th. ,700 Th. €
428,Carlos Martínez,Right-Back,Spain,31,Real Sociedad,600 Th. ,"1,00 Mill. €"
429,Nano,Centre-Forward,Spain,22,Levante UD,600 Th. ,700 Th. €
430,Francisco Molinero,Right-Back,Spain,32,Getafe CF,600 Th. ,"1,00 Mill. €"
431,Przemyslaw Tyton,Keeper,Poland,30,Deportivo de La Coruña,600 Th. ,"1,00 Mill. €"
432,Saúl García,Left-Back,Spain,23,Deportivo de La Coruña,600 Th. ,800 Th. €
433,Asier Riesgo,Keeper,Spain,34,SD Eibar,500 Th. ,"1,00 Mill. €"
434,Michael Olunga,Centre-Forward,Kenya,23,Girona FC,500 Th. ,500 Th. €
435,Martín Mantovani,Centre-Back,Argentina,33,CD Leganés,500 Th. ,800 Th. €
436,Mamadou Koné,Centre-Forward,Cote d'Ivoire,26,CD Leganés,500 Th. ,500 Th. €
437,Kike Sola,Centre-Forward,Spain,31,Athletic Bilbao,500 Th. ,500 Th. €
438,Aythami Artiles,Centre-Back,Spain,31,UD Las Palmas,700 Th. ,"1,00 Mill. €"
439,Cristian Rivera,Defensive Midfield,Spain,20,SD Eibar,700 Th. ,"1,00 Mill. €"
440,Ignasi Miquel,Centre-Back,Spain,25,Málaga CF,700 Th. ,700 Th. €
441,Iván López,Right-Back,Spain,24,Levante UD,600 Th. ,800 Th. €
442,Nicolás Gorosito,Centre-Back,Argentina,29,Getafe CF,600 Th. ,800 Th. €
443,Oscar Melendo,Attacking Midfield,Spain,20,RCD Espanyol Barcelona,600 Th. ,500 Th. €
444,Miguel Cifuentes,Right-Back,Spain,27,Málaga CF,600 Th. ,800 Th. €
445,Jorge Molina,Centre-Forward,Spain,35,Getafe CF,500 Th. ,500 Th. €
446,Marlos Moreno,Left Wing,Colombia,21,Girona FC,500 Th. ,"1,00 Mill. €"
447,Gerard Valentín,Right-Back,Spain,24,Deportivo de La Coruña,500 Th. ,"1,00 Mill. €"
448,Rubén Sobrino,Centre-Forward,Spain,25,Deportivo Alavés,500 Th. ,500 Th. €
449,Shaq Moore,Right-Back,United States,21,Levante UD,500 Th. ,200 Th. €
450,Joaquín,Right Wing,Spain,36,Real Betis Balompié,500 Th. ,500 Th. €
451,Héctor Hernández,Left-Back,Spain,26,Deportivo Alavés,400 Th. ,600 Th. €
452,Farid Boulaya,Attacking Midfield,Algeria,24,Girona FC,400 Th. ,800 Th. €
453,Enric Saborit,Left-Back,Spain,25,Athletic Bilbao,400 Th. ,500 Th. €
454,Toño,Keeper,Spain,31,Real Sociedad,400 Th. ,400 Th. €
455,Gorka Iraizoz,Keeper,Spain,36,Girona FC,300 Th. ,500 Th. €
456,Iván Villar,Keeper,Spain,20,Celta de Vigo,300 Th. ,300 Th. €
457,Fernando Navarro,Left-Back,Spain,35,Deportivo de La Coruña,300 Th. ,500 Th. €
458,Eloi Amagat,Attacking Midfield,Spain,32,Girona FC,200 Th. ,400 Th. €
459,Juan Narváez,Attacking Midfield,Colombia,22,Real Betis Balompié,200 Th. ,200 Th. €
460,Sergio Mora,Central Midfield,Spain,38,Getafe CF,100 Th. ,100 Th. €
461,David García,Centre-Back,Spain,35,UD Las Palmas,100 Th. ,100 Th. €
462,Guilherme Arana,Left-Back,Brazil,20,Sevilla FC,"10,00 Mill. ","8,00 Mill. €"
463,Iván Ramis,Centre-Back,Spain,33,SD Eibar,500 Th. ,"1,00 Mill. €"
464,Andrés Prieto,Keeper,Spain,24,Málaga CF,400 Th. ,300 Th. €
465,Álex Mula,Right Wing,Spain,21,Málaga CF,400 Th. ,-
466,Pedro López,Right-Back,Spain,34,Levante UD,400 Th. ,500 Th. €
467,Jairo Morillas,Centre-Forward,Spain,24,RCD Espanyol Barcelona,300 Th. ,300 Th. €
468,Nereo Champagne,Keeper,Argentina,32,CD Leganés,300 Th. ,400 Th. €
469,Borja Herrera,Left-Back,Spain,24,UD Las Palmas,300 Th. ,300 Th. €
470,Cenk Gönen,Keeper,Turkey,29,Málaga CF,200 Th. ,400 Th. €
471,Dani Giménez,Keeper,Spain,34,Real Betis Balompié,200 Th. ,300 Th. €
472,Daniele Bonera,Centre-Back,Italy,36,Villarreal CF,200 Th. ,200 Th. €
473,Momo,Left Wing,Spain,35,UD Las Palmas,100 Th. ,100 Th. €
474,Felipe Gutiérrez,Central Midfield,Chile,27,Real Betis Balompié,"2,50 Mill. ","2,50 Mill. €"
475,Rubén Castro,Centre-Forward,Spain,36,Real Betis Balompié,900 Th. ,"1,00 Mill. €"
476,Gabriel Peñalba,Central Midfield,Argentina,33,UD Las Palmas,"1,20 Mill. ","1,20 Mill. €"
477,Manuel Iturra,Defensive Midfield,Chile,33,Málaga CF,"1,50 Mill. ","1,50 Mill. €"
478,Diego Costa,Centre-Forward,Spain,29,Atlético Madrid,"50,00 Mill. ","50,00 Mill. €"
